Category: All categories

Week,food bank: (San Antonio TX)
2019-01-06,18
2019-01-13,16
2019-01-20,20
2019-01-27,20
2019-02-03,17
2019-02-10,12
2019-02-17,14
2019-02-24,12
2019-03-03,17
2019-03-10,17
2019-03-17,8
2019-03-24,12
2019-03-31,14
2019-04-07,11
2019-04-14,14
2019-04-21,16
2019-04-28,15
2019-05-05,12
2019-05-12,15
2019-05-19,22
2019-05-26,13
2019-06-02,12
2019-06-09,19
2019-06-16,16
2019-06-23,14
2019-06-30,17
2019-07-07,8
2019-07-14,13
2019-07-21,27
2019-07-28,10
2019-08-04,18
2019-08-11,17
2019-08-18,14
2019-08-25,24
2019-09-01,8
2019-09-08,16
2019-09-15,17
2019-09-22,20
2019-09-29,21
2019-10-06,9
2019-10-13,23
2019-10-20,14
2019-10-27,12
2019-11-03,19
2019-11-10,25
2019-11-17,23
2019-11-24,15
2019-12-01,12
2019-12-08,12
2019-12-15,19
2019-12-22,19
2019-12-29,13
2020-01-05,14
2020-01-12,19
2020-01-19,13
2020-01-26,14
2020-02-02,14
2020-02-09,13
2020-02-16,19
2020-02-23,10
2020-03-01,16
2020-03-08,13
2020-03-15,54
2020-03-22,48
2020-03-29,58
2020-04-05,99
2020-04-12,100
2020-04-19,73
2020-04-26,44
2020-05-03,32
2020-05-10,20
2020-05-17,19
2020-05-24,20
2020-05-31,21
2020-06-07,35
2020-06-14,24
2020-06-21,22
2020-06-28,21
2020-07-05,28
2020-07-12,26
2020-07-19,24
2020-07-26,22
2020-08-02,29
2020-08-09,30
2020-08-16,24
2020-08-23,19
2020-08-30,19
2020-09-06,17
2020-09-13,22
2020-09-20,24
2020-09-27,28
2020-10-04,29
2020-10-11,11
2020-10-18,26
2020-10-25,29
2020-11-01,16
2020-11-08,36
2020-11-15,37
2020-11-22,32
2020-11-29,44
2020-12-06,27
2020-12-13,37
2020-12-20,47
2020-12-27,18
2021-01-03,31
2021-01-10,21
2021-01-17,28
2021-01-24,21
2021-01-31,23
2021-02-07,23
2021-02-14,84
2021-02-21,70
2021-02-28,37
2021-03-07,22
2021-03-14,26
2021-03-21,15
2021-03-28,18
2021-04-04,19
2021-04-11,11
2021-04-18,16
2021-04-25,8
2021-05-02,16
2021-05-09,10
2021-05-16,14
2021-05-23,17
2021-05-30,12
2021-06-06,19
2021-06-13,22
2021-06-20,11
2021-06-27,18
2021-07-04,15
2021-07-11,14
2021-07-18,11
2021-07-25,19
2021-08-01,20
2021-08-08,12
2021-08-15,16
2021-08-22,15
2021-08-29,25
2021-09-05,27
2021-09-12,18
2021-09-19,12
2021-09-26,19
2021-10-03,18
2021-10-10,18
2021-10-17,34
2021-10-24,16
2021-10-31,18
2021-11-07,26
2021-11-14,31
2021-11-21,17
2021-11-28,26
2021-12-05,16
2021-12-12,27
2021-12-19,18
2021-12-26,14
