Category: All categories

Week,food bank: (Austin TX)
2019-01-06,24
2019-01-13,28
2019-01-20,23
2019-01-27,15
2019-02-03,5
2019-02-10,12
2019-02-17,10
2019-02-24,12
2019-03-03,7
2019-03-10,8
2019-03-17,11
2019-03-24,20
2019-03-31,14
2019-04-07,14
2019-04-14,16
2019-04-21,15
2019-04-28,19
2019-05-05,15
2019-05-12,13
2019-05-19,12
2019-05-26,22
2019-06-02,22
2019-06-09,7
2019-06-16,9
2019-06-23,19
2019-06-30,13
2019-07-07,20
2019-07-14,20
2019-07-21,19
2019-07-28,17
2019-08-04,15
2019-08-11,19
2019-08-18,14
2019-08-25,15
2019-09-01,16
2019-09-08,8
2019-09-15,12
2019-09-22,22
2019-09-29,21
2019-10-06,14
2019-10-13,11
2019-10-20,23
2019-10-27,20
2019-11-03,21
2019-11-10,17
2019-11-17,25
2019-11-24,23
2019-12-01,22
2019-12-08,25
2019-12-15,20
2019-12-22,16
2019-12-29,8
2020-01-05,22
2020-01-12,13
2020-01-19,10
2020-01-26,10
2020-02-02,13
2020-02-09,13
2020-02-16,8
2020-02-23,8
2020-03-01,18
2020-03-08,16
2020-03-15,49
2020-03-22,45
2020-03-29,37
2020-04-05,63
2020-04-12,100
2020-04-19,65
2020-04-26,39
2020-05-03,29
2020-05-10,37
2020-05-17,20
2020-05-24,30
2020-05-31,30
2020-06-07,16
2020-06-14,20
2020-06-21,23
2020-06-28,20
2020-07-05,26
2020-07-12,32
2020-07-19,19
2020-07-26,13
2020-08-02,21
2020-08-09,6
2020-08-16,24
2020-08-23,29
2020-08-30,21
2020-09-06,15
2020-09-13,17
2020-09-20,17
2020-09-27,14
2020-10-04,19
2020-10-11,18
2020-10-18,20
2020-10-25,14
2020-11-01,21
2020-11-08,15
2020-11-15,34
2020-11-22,39
2020-11-29,32
2020-12-06,35
2020-12-13,39
2020-12-20,21
2020-12-27,33
2021-01-03,22
2021-01-10,24
2021-01-17,25
2021-01-24,0
2021-01-31,19
2021-02-07,14
2021-02-14,24
2021-02-21,40
2021-02-28,22
2021-03-07,12
2021-03-14,16
2021-03-21,8
2021-03-28,8
2021-04-04,9
2021-04-11,11
2021-04-18,9
2021-04-25,18
2021-05-02,0
2021-05-09,4
2021-05-16,15
2021-05-23,18
2021-05-30,8
2021-06-06,13
2021-06-13,11
2021-06-20,13
2021-06-27,0
2021-07-04,14
2021-07-11,13
2021-07-18,10
2021-07-25,4
2021-08-01,11
2021-08-08,10
2021-08-15,6
2021-08-22,17
2021-08-29,15
2021-09-05,11
2021-09-12,15
2021-09-19,15
2021-09-26,13
2021-10-03,12
2021-10-10,16
2021-10-17,5
2021-10-24,18
2021-10-31,18
2021-11-07,7
2021-11-14,22
2021-11-21,16
2021-11-28,12
2021-12-05,12
2021-12-12,20
2021-12-19,19
2021-12-26,9
