Category: All categories

Week,food pantry: (Texas)
2019-01-06,39
2019-01-13,45
2019-01-20,38
2019-01-27,32
2019-02-03,40
2019-02-10,31
2019-02-17,44
2019-02-24,29
2019-03-03,21
2019-03-10,22
2019-03-17,31
2019-03-24,30
2019-03-31,30
2019-04-07,27
2019-04-14,32
2019-04-21,34
2019-04-28,41
2019-05-05,28
2019-05-12,30
2019-05-19,38
2019-05-26,42
2019-06-02,47
2019-06-09,38
2019-06-16,38
2019-06-23,40
2019-06-30,31
2019-07-07,35
2019-07-14,37
2019-07-21,49
2019-07-28,42
2019-08-04,44
2019-08-11,38
2019-08-18,47
2019-08-25,50
2019-09-01,42
2019-09-08,44
2019-09-15,38
2019-09-22,53
2019-09-29,38
2019-10-06,38
2019-10-13,32
2019-10-20,45
2019-10-27,39
2019-11-03,48
2019-11-10,54
2019-11-17,72
2019-11-24,40
2019-12-01,45
2019-12-08,41
2019-12-15,52
2019-12-22,28
2019-12-29,34
2020-01-05,40
2020-01-12,34
2020-01-19,47
2020-01-26,46
2020-02-02,37
2020-02-09,33
2020-02-16,37
2020-02-23,42
2020-03-01,33
2020-03-08,39
2020-03-15,100
2020-03-22,93
2020-03-29,80
2020-04-05,80
2020-04-12,77
2020-04-19,59
2020-04-26,43
2020-05-03,47
2020-05-10,44
2020-05-17,42
2020-05-24,38
2020-05-31,43
2020-06-07,46
2020-06-14,35
2020-06-21,47
2020-06-28,39
2020-07-05,40
2020-07-12,41
2020-07-19,42
2020-07-26,46
2020-08-02,47
2020-08-09,43
2020-08-16,47
2020-08-23,39
2020-08-30,32
2020-09-06,35
2020-09-13,31
2020-09-20,37
2020-09-27,39
2020-10-04,39
2020-10-11,48
2020-10-18,46
2020-10-25,41
2020-11-01,45
2020-11-08,56
2020-11-15,63
2020-11-22,48
2020-11-29,57
2020-12-06,41
2020-12-13,58
2020-12-20,38
2020-12-27,41
2021-01-03,36
2021-01-10,35
2021-01-17,36
2021-01-24,35
2021-01-31,30
2021-02-07,34
2021-02-14,46
2021-02-21,59
2021-02-28,32
2021-03-07,34
2021-03-14,22
2021-03-21,28
2021-03-28,25
2021-04-04,24
2021-04-11,16
2021-04-18,26
2021-04-25,21
2021-05-02,24
2021-05-09,27
2021-05-16,23
2021-05-23,24
2021-05-30,27
2021-06-06,30
2021-06-13,26
2021-06-20,27
2021-06-27,21
2021-07-04,24
2021-07-11,25
2021-07-18,29
2021-07-25,29
2021-08-01,32
2021-08-08,33
2021-08-15,38
2021-08-22,36
2021-08-29,35
2021-09-05,29
2021-09-12,30
2021-09-19,32
2021-09-26,39
2021-10-03,30
2021-10-10,30
2021-10-17,31
2021-10-24,25
2021-10-31,46
2021-11-07,47
2021-11-14,67
2021-11-21,33
2021-11-28,38
2021-12-05,35
2021-12-12,34
2021-12-19,28
2021-12-26,25
