Category: All categories

Week,snap: (Austin TX)
2019-01-06,88
2019-01-13,83
2019-01-20,66
2019-01-27,63
2019-02-03,77
2019-02-10,60
2019-02-17,64
2019-02-24,72
2019-03-03,68
2019-03-10,62
2019-03-17,67
2019-03-24,66
2019-03-31,85
2019-04-07,58
2019-04-14,65
2019-04-21,84
2019-04-28,73
2019-05-05,70
2019-05-12,69
2019-05-19,77
2019-05-26,64
2019-06-02,62
2019-06-09,68
2019-06-16,71
2019-06-23,65
2019-06-30,46
2019-07-07,62
2019-07-14,69
2019-07-21,70
2019-07-28,69
2019-08-04,67
2019-08-11,66
2019-08-18,68
2019-08-25,75
2019-09-01,71
2019-09-08,55
2019-09-15,66
2019-09-22,69
2019-09-29,61
2019-10-06,57
2019-10-13,72
2019-10-20,67
2019-10-27,70
2019-11-03,61
2019-11-10,63
2019-11-17,64
2019-11-24,72
2019-12-01,78
2019-12-08,65
2019-12-15,69
2019-12-22,51
2019-12-29,85
2020-01-05,79
2020-01-12,67
2020-01-19,79
2020-01-26,67
2020-02-02,62
2020-02-09,71
2020-02-16,62
2020-02-23,66
2020-03-01,70
2020-03-08,55
2020-03-15,81
2020-03-22,92
2020-03-29,95
2020-04-05,100
2020-04-12,78
2020-04-19,97
2020-04-26,86
2020-05-03,78
2020-05-10,80
2020-05-17,77
2020-05-24,83
2020-05-31,84
2020-06-07,78
2020-06-14,89
2020-06-21,79
2020-06-28,92
2020-07-05,77
2020-07-12,84
2020-07-19,69
2020-07-26,69
2020-08-02,76
2020-08-09,89
2020-08-16,93
2020-08-23,77
2020-08-30,85
2020-09-06,67
2020-09-13,66
2020-09-20,64
2020-09-27,76
2020-10-04,76
2020-10-11,62
2020-10-18,96
2020-10-25,77
2020-11-01,71
2020-11-08,71
2020-11-15,70
2020-11-22,60
2020-11-29,73
2020-12-06,70
2020-12-13,75
2020-12-20,57
2020-12-27,83
2021-01-03,58
2021-01-10,79
2021-01-17,70
2021-01-24,86
2021-01-31,92
2021-02-07,74
2021-02-14,87
2021-02-21,94
2021-02-28,77
2021-03-07,84
2021-03-14,83
2021-03-21,72
2021-03-28,68
2021-04-04,77
2021-04-11,89
2021-04-18,66
2021-04-25,99
2021-05-02,91
2021-05-09,83
2021-05-16,78
2021-05-23,95
2021-05-30,84
2021-06-06,90
2021-06-13,92
2021-06-20,79
2021-06-27,64
2021-07-04,81
2021-07-11,85
2021-07-18,90
2021-07-25,100
2021-08-01,74
2021-08-08,83
2021-08-15,88
2021-08-22,75
2021-08-29,71
2021-09-05,70
2021-09-12,80
2021-09-19,82
2021-09-26,71
2021-10-03,76
2021-10-10,64
2021-10-17,72
2021-10-24,81
2021-10-31,85
2021-11-07,80
2021-11-14,73
2021-11-21,65
2021-11-28,66
2021-12-05,77
2021-12-12,67
2021-12-19,62
2021-12-26,70
