Category: All categories

Week,food stamps: (Houston TX)
2019-01-06,37
2019-01-13,52
2019-01-20,32
2019-01-27,16
2019-02-03,19
2019-02-10,19
2019-02-17,21
2019-02-24,14
2019-03-03,16
2019-03-10,15
2019-03-17,14
2019-03-24,17
2019-03-31,15
2019-04-07,18
2019-04-14,12
2019-04-21,16
2019-04-28,15
2019-05-05,17
2019-05-12,14
2019-05-19,16
2019-05-26,17
2019-06-02,22
2019-06-09,16
2019-06-16,16
2019-06-23,15
2019-06-30,15
2019-07-07,23
2019-07-14,21
2019-07-21,19
2019-07-28,24
2019-08-04,25
2019-08-11,20
2019-08-18,20
2019-08-25,15
2019-09-01,21
2019-09-08,19
2019-09-15,21
2019-09-22,19
2019-09-29,17
2019-10-06,20
2019-10-13,19
2019-10-20,13
2019-10-27,15
2019-11-03,16
2019-11-10,14
2019-11-17,18
2019-11-24,9
2019-12-01,22
2019-12-08,23
2019-12-15,15
2019-12-22,16
2019-12-29,21
2020-01-05,22
2020-01-12,22
2020-01-19,19
2020-01-26,18
2020-02-02,17
2020-02-09,15
2020-02-16,15
2020-02-23,16
2020-03-01,17
2020-03-08,23
2020-03-15,68
2020-03-22,64
2020-03-29,72
2020-04-05,95
2020-04-12,100
2020-04-19,57
2020-04-26,46
2020-05-03,44
2020-05-10,45
2020-05-17,43
2020-05-24,35
2020-05-31,40
2020-06-07,36
2020-06-14,40
2020-06-21,34
2020-06-28,41
2020-07-05,34
2020-07-12,29
2020-07-19,30
2020-07-26,31
2020-08-02,29
2020-08-09,36
2020-08-16,31
2020-08-23,32
2020-08-30,31
2020-09-06,28
2020-09-13,23
2020-09-20,20
2020-09-27,29
2020-10-04,27
2020-10-11,28
2020-10-18,25
2020-10-25,27
2020-11-01,26
2020-11-08,41
2020-11-15,28
2020-11-22,22
2020-11-29,32
2020-12-06,31
2020-12-13,26
2020-12-20,15
2020-12-27,25
2021-01-03,36
2021-01-10,37
2021-01-17,34
2021-01-24,33
2021-01-31,34
2021-02-07,33
2021-02-14,48
2021-02-21,68
2021-02-28,38
2021-03-07,36
2021-03-14,23
2021-03-21,18
2021-03-28,25
2021-04-04,25
2021-04-11,26
2021-04-18,24
2021-04-25,26
2021-05-02,26
2021-05-09,23
2021-05-16,27
2021-05-23,68
2021-05-30,56
2021-06-06,44
2021-06-13,37
2021-06-20,40
2021-06-27,33
2021-07-04,35
2021-07-11,47
2021-07-18,36
2021-07-25,31
2021-08-01,37
2021-08-08,44
2021-08-15,47
2021-08-22,32
2021-08-29,55
2021-09-05,54
2021-09-12,39
2021-09-19,35
2021-09-26,29
2021-10-03,32
2021-10-10,31
2021-10-17,24
2021-10-24,23
2021-10-31,32
2021-11-07,31
2021-11-14,31
2021-11-21,21
2021-11-28,30
2021-12-05,25
2021-12-12,25
2021-12-19,17
2021-12-26,25
