Category: All categories

Week,food pantry: (San Antonio TX)
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,59
2019-02-10,0
2019-02-17,29
2019-02-24,0
2019-03-03,61
2019-03-10,0
2019-03-17,31
2019-03-24,41
2019-03-31,0
2019-04-07,18
2019-04-14,15
2019-04-21,27
2019-04-28,24
2019-05-05,29
2019-05-12,60
2019-05-19,44
2019-05-26,57
2019-06-02,52
2019-06-09,28
2019-06-16,55
2019-06-23,31
2019-06-30,15
2019-07-07,0
2019-07-14,40
2019-07-21,28
2019-07-28,17
2019-08-04,0
2019-08-11,51
2019-08-18,0
2019-08-25,18
2019-09-01,29
2019-09-08,78
2019-09-15,0
2019-09-22,19
2019-09-29,46
2019-10-06,0
2019-10-13,20
2019-10-20,41
2019-10-27,50
2019-11-03,56
2019-11-10,29
2019-11-17,45
2019-11-24,28
2019-12-01,18
2019-12-08,0
2019-12-15,25
2019-12-22,24
2019-12-29,18
2020-01-05,61
2020-01-12,26
2020-01-19,30
2020-01-26,28
2020-02-02,73
2020-02-09,25
2020-02-16,48
2020-02-23,38
2020-03-01,14
2020-03-08,0
2020-03-15,63
2020-03-22,100
2020-03-29,79
2020-04-05,55
2020-04-12,23
2020-04-19,21
2020-04-26,0
2020-05-03,12
2020-05-10,18
2020-05-17,26
2020-05-24,0
2020-05-31,0
2020-06-07,24
2020-06-14,14
2020-06-21,67
2020-06-28,25
2020-07-05,0
2020-07-12,24
2020-07-19,29
2020-07-26,28
2020-08-02,20
2020-08-09,26
2020-08-16,45
2020-08-23,28
2020-08-30,0
2020-09-06,22
2020-09-13,0
2020-09-20,0
2020-09-27,23
2020-10-04,0
2020-10-11,16
2020-10-18,22
2020-10-25,39
2020-11-01,51
2020-11-08,20
2020-11-15,30
2020-11-22,62
2020-11-29,31
2020-12-06,37
2020-12-13,0
2020-12-20,41
2020-12-27,75
2021-01-03,0
2021-01-10,28
2021-01-17,0
2021-01-24,0
2021-01-31,19
2021-02-07,24
2021-02-14,49
2021-02-21,51
2021-02-28,26
2021-03-07,0
2021-03-14,17
2021-03-21,30
2021-03-28,30
2021-04-04,0
2021-04-11,21
2021-04-18,24
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,17
2021-05-23,26
2021-05-30,22
2021-06-06,48
2021-06-13,27
2021-06-20,16
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,41
2021-07-25,79
2021-08-01,0
2021-08-08,74
2021-08-15,28
2021-08-22,28
2021-08-29,0
2021-09-05,17
2021-09-12,27
2021-09-19,0
2021-09-26,26
2021-10-03,27
2021-10-10,27
2021-10-17,40
2021-10-24,46
2021-10-31,0
2021-11-07,33
2021-11-14,20
2021-11-21,30
2021-11-28,0
2021-12-05,0
2021-12-12,23
2021-12-19,39
2021-12-26,42
