Category: All categories

Week,food pantry: (Austin TX)
2019-01-06,44
2019-01-13,0
2019-01-20,47
2019-01-27,16
2019-02-03,46
2019-02-10,11
2019-02-17,20
2019-02-24,9
2019-03-03,22
2019-03-10,39
2019-03-17,34
2019-03-24,0
2019-03-31,20
2019-04-07,0
2019-04-14,21
2019-04-21,19
2019-04-28,17
2019-05-05,11
2019-05-12,18
2019-05-19,0
2019-05-26,30
2019-06-02,43
2019-06-09,33
2019-06-16,60
2019-06-23,25
2019-06-30,16
2019-07-07,49
2019-07-14,12
2019-07-21,34
2019-07-28,11
2019-08-04,0
2019-08-11,40
2019-08-18,46
2019-08-25,17
2019-09-01,26
2019-09-08,34
2019-09-15,10
2019-09-22,25
2019-09-29,18
2019-10-06,52
2019-10-13,25
2019-10-20,0
2019-10-27,33
2019-11-03,23
2019-11-10,44
2019-11-17,40
2019-11-24,38
2019-12-01,16
2019-12-08,25
2019-12-15,18
2019-12-22,0
2019-12-29,34
2020-01-05,17
2020-01-12,21
2020-01-19,31
2020-01-26,31
2020-02-02,22
2020-02-09,9
2020-02-16,39
2020-02-23,24
2020-03-01,8
2020-03-08,36
2020-03-15,100
2020-03-22,41
2020-03-29,36
2020-04-05,62
2020-04-12,96
2020-04-19,33
2020-04-26,25
2020-05-03,33
2020-05-10,31
2020-05-17,13
2020-05-24,32
2020-05-31,38
2020-06-07,34
2020-06-14,39
2020-06-21,53
2020-06-28,40
2020-07-05,0
2020-07-12,17
2020-07-19,24
2020-07-26,31
2020-08-02,39
2020-08-09,15
2020-08-16,15
2020-08-23,18
2020-08-30,0
2020-09-06,41
2020-09-13,18
2020-09-20,16
2020-09-27,28
2020-10-04,41
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,11
2020-11-08,0
2020-11-15,43
2020-11-22,0
2020-11-29,52
2020-12-06,0
2020-12-13,27
2020-12-20,35
2020-12-27,16
2021-01-03,28
2021-01-10,0
2021-01-17,0
2021-01-24,34
2021-01-31,23
2021-02-07,68
2021-02-14,0
2021-02-21,51
2021-02-28,41
2021-03-07,51
2021-03-14,0
2021-03-21,31
2021-03-28,27
2021-04-04,15
2021-04-11,0
2021-04-18,0
2021-04-25,24
2021-05-02,23
2021-05-09,25
2021-05-16,0
2021-05-23,19
2021-05-30,40
2021-06-06,39
2021-06-13,23
2021-06-20,13
2021-06-27,0
2021-07-04,27
2021-07-11,15
2021-07-18,35
2021-07-25,10
2021-08-01,18
2021-08-08,16
2021-08-15,10
2021-08-22,13
2021-08-29,25
2021-09-05,19
2021-09-12,0
2021-09-19,0
2021-09-26,13
2021-10-03,11
2021-10-10,0
2021-10-17,20
2021-10-24,0
2021-10-31,30
2021-11-07,14
2021-11-14,21
2021-11-21,24
2021-11-28,0
2021-12-05,22
2021-12-12,44
2021-12-19,22
2021-12-26,36
